frame,id,cx,cy,conf,x1,y1,x2,y2
15,33,482,573,0.406,453,507,511,639
15,24,1111,115,0.373,1087,60,1135,170
15,19,926,135,0.343,906,80,946,190
15,26,1641,71,0.337,1619,16,1663,125
15,23,1015,184,0.321,985,115,1044,254
16,5,1173,964,0.886,1126,858,1220,1070
16,2,709,670,0.867,673,572,746,768
16,3,1423,797,0.851,1383,709,1464,884
16,4,1526,606,0.845,1486,518,1567,693
16,1,121,902,0.816,54,818,188,986
16,8,282,569,0.811,242,484,322,654
16,7,784,482,0.809,755,399,813,565
16,31,1875,729,0.782,1831,630,1919,829
16,9,952,264,0.773,924,193,980,336
16,6,1181,531,0.763,1148,458,1213,604
16,12,736,268,0.742,709,196,762,339
16,14,1508,440,0.683,1473,361,1544,520
16,13,600,368,0.681,570,298,630,439
16,16,116,186,0.67,91,126,140,245
16,17,368,565,0.656,339,489,397,641
16,15,1831,233,0.616,1801,167,1860,300
16,21,272,73,0.555,245,16,299,130
16,18,868,124,0.536,847,59,889,190
16,20,818,128,0.529,799,64,837,192
16,11,1195,189,0.516,1170,124,1219,254
16,29,420,581,0.516,385,496,455,666
16,30,1735,245,0.509,1701,172,1769,318
16,10,1228,162,0.502,1204,96,1251,227
16,34,402,54,0.468,380,0,423,109
16,24,1111,116,0.445,1086,61,1136,171
16,33,481,572,0.384,451,507,511,638
16,26,1641,70,0.372,1619,16,1663,125
16,19,927,132,0.364,906,74,947,190
16,23,1014,185,0.347,985,117,1043,254
16,25,1611,71,0.306,1592,18,1629,123
17,5,1170,960,0.896,1124,851,1216,1069
17,2,709,661,0.894,675,566,744,756
17,3,1419,797,0.846,1380,710,1459,883
17,1,122,903,0.844,56,820,189,987
17,7,784,476,0.824,755,395,814,557
17,6,1181,525,0.818,1148,454,1213,597
17,8,280,569,0.802,241,485,319,654
17,31,1874,726,0.791,1829,626,1919,826
17,9,952,267,0.764,924,195,980,338
17,4,1528,607,0.742,1488,521,1568,693
17,14,1509,441,0.688,1474,362,1545,520
17,12,735,265,0.685,708,195,763,336
17,13,599,367,0.669,569,295,628,439
17,16,116,185,0.638,92,126,140,245
17,17,369,565,0.617,339,488,399,641
17,15,1831,235,0.568,1802,169,1860,301
17,21,273,71,0.529,248,14,299,128
17,20,818,127,0.528,799,62,837,192
17,18,867,124,0.527,846,58,888,189
17,30,1735,254,0.51,1705,185,1766,322
17,11,1195,188,0.495,1171,124,1218,252
17,10,1227,160,0.494,1204,94,1251,225
17,29,419,587,0.477,385,508,453,665
17,24,1111,118,0.467,1086,64,1135,172
17,19,927,133,0.422,907,78,948,188
17,34,402,55,0.413,379,0,424,110
17,23,1015,185,0.396,985,116,1045,255
17,26,1642,71,0.346,1621,16,1663,125
17,33,481,572,0.324,452,506,511,638
18,5,1168,950,0.877,1122,842,1214,1059
18,2,710,647,0.873,675,557,745,737
18,1,124,905,0.857,59,821,189,989
18,3,1410,796,0.851,1367,708,1452,883
18,7,783,465,0.847,753,389,814,541
18,4,1530,608,0.824,1489,524,1571,693
18,8,276,570,0.824,239,487,313,653
18,31,1870,715,0.809,1826,616,1913,815
18,9,953,271,0.784,924,200,981,341
18,6,1180,515,0.753,1148,447,1212,583
18,14,1512,449,0.706,1477,366,1548,531
18,12,733,262,0.671,705,191,760,333
18,16,114,184,0.655,90,125,139,244
18,13,599,371,0.65,569,302,628,439
18,15,1832,241,0.592,1803,174,1860,308
18,17,370,561,0.585,339,486,400,636
18,18,867,123,0.543,846,58,889,189
18,10,1228,157,0.53,1204,91,1251,224
18,24,1111,118,0.518,1086,64,1135,173
18,20,817,126,0.505,798,60,836,192
18,21,276,68,0.501,251,10,301,127
18,30,1733,260,0.48,1704,192,1763,327
18,11,1193,183,0.466,1170,116,1216,249
18,34,403,54,0.459,381,0,425,108
18,19,928,127,0.409,908,68,949,186
18,29,418,580,0.403,384,496,451,664
18,23,1015,191,0.383,985,120,1046,263
18,26,1642,72,0.36,1621,17,1663,127
18,25,1610,73,0.305,1592,19,1629,127
19,5,1166,944,0.877,1120,837,1211,1051
19,1,125,907,0.862,61,822,188,992
19,2,710,643,0.858,675,554,745,733
19,7,783,461,0.823,753,385,813,538
19,8,275,573,0.817,239,489,312,656
19,4,1532,609,0.794,1490,526,1573,693
19,3,1407,796,0.791,1367,709,1446,883
19,31,1869,709,0.783,1826,612,1911,806
19,9,953,272,0.781,925,202,982,342
19,14,1514,454,0.776,1477,371,1550,537
19,6,1178,511,0.747,1146,444,1209,579
19,16,114,184,0.696,89,125,139,244
19,13,598,370,0.69,569,299,628,440
19,12,731,261,0.686,704,189,759,334
19,15,1831,242,0.621,1803,175,1860,309
19,17,369,561,0.573,337,486,400,636
19,10,1226,157,0.549,1203,90,1250,224
19,18,867,123,0.544,846,58,889,189
19,20,817,125,0.502,798,59,836,191
19,24,1111,119,0.484,1087,65,1135,173
19,21,280,65,0.471,252,7,308,123
19,11,1192,181,0.461,1169,116,1215,247
19,23,1015,194,0.456,986,123,1043,264
19,29,418,583,0.447,384,503,452,663
19,30,1735,261,0.431,1705,193,1765,329
19,34,404,54,0.417,382,0,426,108
19,26,1642,72,0.362,1621,17,1663,128
19,19,928,129,0.351,908,71,949,187
20,1,124,909,0.869,62,824,186,994
20,5,1164,938,0.862,1118,832,1209,1043
20,2,709,641,0.855,673,550,745,732
20,8,274,578,0.821,238,492,311,665
20,14,1514,459,0.818,1476,375,1552,542
20,3,1389,795,0.81,1336,711,1442,879
20,31,1866,702,0.807,1823,611,1909,794
20,7,783,460,0.8,753,382,813,537
20,9,954,273,0.789,925,203,982,343
20,6,1177,509,0.78,1145,442,1210,576
20,4,1533,611,0.777,1492,529,1573,692
20,16,114,184,0.696,89,124,139,244
20,15,1831,243,0.662,1803,176,1860,310
20,13,598,371,0.661,567,302,629,439
20,12,730,260,0.647,702,187,758,333
20,10,1226,156,0.594,1203,90,1249,223
20,17,368,561,0.588,337,486,400,636
20,23,1015,196,0.58,986,126,1044,267
20,18,867,122,0.546,845,57,888,188
20,11,1192,180,0.536,1169,113,1216,247
20,24,1112,119,0.499,1089,65,1135,173
20,20,817,125,0.499,798,59,836,190
20,21,284,64,0.495,254,5,314,122
20,34,405,53,0.467,383,0,428,107
20,30,1735,264,0.443,1706,198,1765,329
20,26,1644,73,0.401,1624,17,1664,128
20,29,417,579,0.392,383,494,451,664
20,36,1319,50,0.376,1299,0,1339,101
20,25,1610,73,0.321,1591,19,1629,127
20,22,599,272,0.314,575,226,624,318
20,19,929,128,0.312,908,70,949,186
21,1,125,911,0.886,64,824,187,998
21,5,1162,927,0.867,1117,826,1207,1029
21,3,1381,796,0.852,1325,711,1437,880
21,2,709,639,0.847,673,545,745,733
21,8,273,585,0.823,237,495,310,675
21,9,955,274,0.808,924,204,985,344
21,6,1177,508,0.793,1145,440,1210,576
21,7,783,458,0.776,751,379,814,537
21,31,1863,697,0.772,1819,608,1908,785
21,14,1516,463,0.76,1477,380,1555,546
21,4,1534,615,0.717,1493,532,1575,699
21,16,114,183,0.67,89,124,139,243
21,13,599,368,0.668,567,299,631,437
21,12,730,259,0.646,702,185,758,333
21,15,1831,244,0.628,1802,178,1859,310
21,23,1015,197,0.59,986,128,1044,265
21,11,1192,176,0.565,1167,112,1217,241
21,18,866,122,0.561,845,56,888,188
21,17,368,561,0.557,336,486,401,636
21,10,1227,156,0.543,1205,89,1249,223
21,24,1112,120,0.517,1089,65,1136,174
21,21,290,61,0.509,258,2,323,121
21,20,816,124,0.508,796,59,836,189
21,30,1735,263,0.44,1704,198,1766,329
21,34,408,53,0.419,387,0,430,106
21,26,1643,74,0.397,1622,17,1664,130
21,36,1319,50,0.378,1299,0,1339,100
21,29,416,580,0.348,383,496,450,665
21,25,1610,73,0.302,1591,19,1628,126
22,5,1161,916,0.865,1114,820,1207,1012
22,1,127,913,0.856,65,824,189,1002
22,3,1375,795,0.851,1316,709,1433,880
22,2,709,638,0.835,673,543,745,732
22,8,273,590,0.824,236,498,310,681
22,9,956,275,0.822,925,206,986,344
22,14,1516,466,0.798,1478,383,1555,550
22,6,1177,508,0.786,1144,440,1209,576
22,7,783,455,0.764,753,377,813,533
22,31,1861,692,0.764,1816,605,1906,779
22,4,1536,623,0.719,1494,534,1577,711
22,16,114,183,0.664,89,124,139,243
22,13,599,369,0.658,566,301,632,437
22,23,1015,201,0.578,986,130,1044,272
22,15,1832,243,0.573,1804,177,1860,309
22,11,1191,173,0.572,1167,111,1215,235
22,12,727,257,0.57,698,184,756,329
22,17,368,561,0.527,336,486,401,636
22,18,866,122,0.519,845,56,887,188
22,24,1113,119,0.474,1090,66,1136,173
22,30,1734,265,0.473,1701,202,1768,328
22,20,816,123,0.461,796,59,836,188
22,10,1226,156,0.455,1203,88,1248,224
22,21,294,63,0.439,259,6,328,120
22,34,408,53,0.419,386,0,431,106
22,26,1643,74,0.38,1623,17,1664,131
22,36,1318,50,0.328,1297,0,1339,100
23,5,1158,903,0.905,1111,811,1205,994
23,9,956,276,0.862,926,207,986,345
23,3,1368,795,0.855,1311,710,1424,879
23,1,130,913,0.85,71,824,189,1002
